Time (UTC);WT_WW-P-50.215.ThHy_ext.PU315;eta_total_electric_power;hex1_on_off;central_machine_heating_on_off;EV_NVP.Elek_P.TGA;chp1_electric_power;static_heating_volume_flow;t_amb;hex1_thermal_load;static_heating_on_off;chp2_electric_power;bproductionmodeactivated;static_heating_thermal_load;central_machine_heating_volume_flow;ThSp_VC-100E.395.ThHy_T_ob;central_machine_heating_thermal_load;hex1_volume_flow_hnht;eta_without_hnht_electric_power;zero_thermal_load;bsetstatusonalgorithm;bheatingmodeactivated;chp_index;feed_in_tariff_euro_per_kWh;chp_remuneration_self_consumption_euro_per_kWh;electricity_price_euro_per_kWh;CO2_intensity_gCO2_per_kWh;gas_price_euro_per_kWh
2026-01-03 21:58:00;20,86998748779297;8,537076950073242;0;0;5,570021152496338;0,0;0,045255672186613;7,119999885559082;-0,0;1;0,0;1,0;-0,5563579797744751;0,0;66,23831176757812;-0,0;0,0;8,537076950073242;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 21:59:00;20,86998748779297;8,541210174560547;0;0;5,570125102996826;0,0;0,0455766059458255;7,119999885559082;-0,0;1;0,0;1,0;-0,5266473293304443;0,0;66,23255920410156;-0,0;0,0;8,541210174560547;0;1;1;0,07176;0,16026;0,04;0,23136;353,776;0,08
2026-01-03 22:00:00;20,86998748779297;8,256269454956055;0;0;5,620759963989258;0,0;0,0460000000894069;7,119999885559082;-0,0;1;0,0;1,0;-0,5025553107261658;0,0;66,23162841796875;-0,0;0,0;8,256269454956055;0;1;1;0,07176;0,16026;0,04;0,22471;358,135;0,08
2026-01-03 22:01:00;20,86998748779297;6,999221324920654;0;0;5,76494836807251;0,0;0,0457059890031814;7,119999885559082;-0,0;1;0,0;1,0;-0,4974694550037384;0,0;66,21662139892578;-0,0;0,0;6,999221324920654;0;1;1;0,07176;0,16026;0,04;0,22471;358,135;0,08
2026-01-03 22:02:00;20,86998748779297;7,496284484863281;0;0;6,071819305419922;0,0;0,0390361100435256;7,119999885559082;-0,0;1;0,0;1,0;-0,4522810578346252;0,0;66,21515655517578;-0,0;0,0;7,496284484863281;0;1;1;0,07176;0,16026;0,04;0,22471;358,135;0,08
2026-01-03 22:03:00;20,86998748779297;7,710608005523682;0;0;6,85680627822876;0,0;0,0377057045698165;7,119999885559082;-0,0;1;0,0;1,0;-0,4585013687610626;0,0;66,21001434326172;-0,0;0,0;7,710608005523682;0;1;1;0,07176;0,16026;0,04;0,22471;358,135;0,08
2026-01-03 22:04:00;20,86998748779297;7,571709632873535;0;0;6,622555255889893;0,0;0,0268597193062305;7,119999885559082;-0,0;1;0,0;1,0;-0,3328629434108734;0,0;66,19514465332031;-0,0;0,0;7,571709632873535;0;1;1;0,07176;0,16026;0,04;0,22471;358,135;0,08
2026-01-03 22:05:00;20,86998748779297;7,562592029571533;0;0;6,562154769897461;0,0;0,0182033888995647;7,100637912750244;-0,0;1;0,0;1,0;-0,2299706190824508;0,0;66,19667053222656;-0,0;0,0;7,562592029571533;0;1;1;0,07176;0,16026;0,04;0,22471;358,135;0,08
2026-01-03 22:06:00;20,86998748779297;7,551762104034424;0;0;6,579723834991455;0,0;0,0169999990612268;7,039999961853027;-0,0;1;0,0;1,0;-0,2184302359819412;0,0;66,19000244140625;-0,0;0,0;7,551762104034424;0;1;1;0,07176;0,16026;0,04;0,22471;358,135;0,08
2026-01-03 22:07:00;20,86998748779297;7,562967300415039;0;0;6,564620971679688;0,0;0,0169999990612268;7,039999961853027;-0,0;1;0,0;1,0;-0,2287260442972183;0,0;66,18999481201172;-0,0;0,0;7,562967300415039;0;1;1;0,07176;0,16026;0,04;0,22471;358,135;0,08
